City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
485,puerto baquerizo moreno,-0.9,-89.6,23.56,82,87,4.13,EC,1701662339
486,naracoorte,-36.9579,140.7383,33.16,17,46,7.84,AU,1701662339
487,weno,7.4515,151.8468,30.97,70,100,4.63,FM,1701662339
488,choibalsan,48.0667,114.5,-9.22,79,3,3.07,MN,1701662339
489,aginskoye,51.1,114.53,-6.09,70,18,2.81,RU,1701662339
490,pizarro,4.9533,-77.366,25.58,91,99,1.93,CO,1701662339
491,kapa'a,22.0752,-159.319,26.18,79,20,4.63,US,1701662339
492,myskhako,44.6714,37.7433,12.55,93,97,1.1,RU,1701662340
493,tosontsengel,48.7567,98.2839,-4.98,74,99,2.52,MN,1701662340
494,laguna,38.421,-121.4238,14.42,82,0,1.54,US,1701662340
495,isola di capo rizzuto,38.96,17.0933,8.99,77,44,6.91,IT,1701662342
496,vernon,50.2581,-119.2691,2.2,94,99,2.06,CA,1701662221
497,manado,1.487,124.8455,32.43,66,40,2.06,ID,1701662343
498,castillos,-34.1667,-53.8333,16.02,48,100,5.75,UY,1701662343
499,codrington,-38.2667,141.9667,27.22,31,87,6.54,AU,1701662310
500,mccook,40.2019,-100.6257,1.03,63,0,4.63,US,1701662344
501,borovnica,45.9158,14.3631,-2.73,92,23,0.41,SI,1701662344
502,tra mhor,52.1624,-7.1524,4.15,90,100,5.36,IE,1701662344
503,kencong,-8.2833,113.3667,29.35,72,75,3.01,ID,1701662344
504,cudahy,33.9606,-118.1853,16.56,81,0,1.54,US,1701662345
505,suva,-18.1416,178.4415,30.71,66,40,3.09,FJ,1701662345
506,khanty-mansiysk,61.0042,69.0019,-27.94,69,0,1.0,RU,1701662345
507,kanigiri,15.4,79.5167,22.13,84,100,8.45,IN,1701662346
508,chimore,-16.9833,-65.1333,22.42,96,85,1.05,BO,1701662346
509,taulaga,-11.0553,-171.0883,28.45,76,50,7.63,AS,1701662346
510,nadi,-17.8,177.4167,30.0,70,40,6.17,FJ,1701662067
511,rio grande,-32.035,-52.0986,19.41,74,100,9.14,BR,1701662212
512,noosa heads,-26.3833,153.15,27.28,85,33,5.74,AU,1701662128
513,leer,53.2316,7.461,0.0,96,100,4.98,DE,1701662347
514,bac lieu,9.285,105.7244,29.36,70,99,6.09,VN,1701662347
515,pangody,65.85,74.4859,-30.07,98,21,3.55,RU,1701662347
516,saint-brevin-les-pins,47.25,-2.1667,12.97,87,75,10.29,FR,1701662347
517,tabou,4.423,-7.3528,25.77,86,0,2.69,CI,1701662348
518,san-pedro,4.7485,-6.6363,25.86,85,1,2.29,CI,1701662348
519,pishin,30.5803,66.9961,10.0,42,0,0.96,PK,1701662348
520,kharp,66.8014,65.8081,-28.74,98,88,1.36,RU,1701662348
521,marondera,-18.1853,31.5519,13.83,63,6,1.43,ZW,1701662349
522,gaigeturi,33.4644,126.3183,11.03,62,40,2.57,KR,1701662349
523,conception bay south,47.4999,-52.9981,0.41,81,95,1.91,CA,1701662349
524,ola,59.5833,151.2833,-25.48,87,64,4.05,RU,1701662349
525,mostaganem,35.9311,0.0892,13.12,43,50,3.32,DZ,1701662349
526,aripuana,-9.1667,-60.6333,22.13,96,18,1.27,BR,1701662350
527,carutapera,-1.195,-46.02,26.08,86,99,2.42,BR,1701662350
528,strezhevoy,60.7333,77.5889,-26.02,91,8,4.9,RU,1701662350
529,mankera,31.3866,71.4407,20.09,30,0,0.74,PK,1701662350
530,vilhena,-12.7406,-60.1458,21.66,91,58,1.44,BR,1701662351
531,bridlington,54.0831,-0.1919,7.23,91,100,3.58,GB,1701662351
532,wotje,9.4543,170.2367,27.47,80,73,9.65,MH,1701662351
533,nakama,33.8167,130.7,15.64,52,16,0.45,JP,1701662351
534,buka,40.8108,69.1986,11.5,40,38,0.43,UZ,1701662352
535,baise city,23.8997,106.6133,17.23,75,100,0.5,CN,1701662352
536,zakamensk,50.3741,103.2863,-4.92,69,100,2.09,RU,1701662352
537,howard springs,-12.497,131.047,34.34,62,96,3.16,AU,1701662353
538,san jose de jachal,-30.2406,-68.7469,15.18,23,0,1.29,AR,1701662353
539,barra de santo antonio,-9.4047,-35.5072,25.6,90,11,4.81,BR,1701662353
540,las toscas,-28.3529,-59.258,19.51,96,100,4.75,AR,1701662353
541,mount pearl,47.5166,-52.7813,0.08,80,100,1.54,CA,1701662353
542,bulgan,48.8125,103.5347,-4.48,71,83,2.51,MN,1701662354
543,matsubase,32.65,130.6667,13.22,45,48,1.33,JP,1701662354
544,sarikei,2.1167,111.5167,30.29,68,78,2.1,MY,1701662354
545,tindouf,27.6711,-8.1474,14.25,44,0,2.06,DZ,1701662354
546,hitachi,36.6,140.65,15.37,44,0,1.1,JP,1701662355
